%This is preprocessed tweet dataset with labels
%project: Dogal Afetler sonrasi onemli tweetlerin belirlenmesi ve ozetlenmesi
%preprocessed by - Ilkin Huseynli
%date - 25.11.16


@RELATION tweets


@ATTRIBUTE tweet STRING
@ATTRIBUTE label {1,0}


@DATA
'ïwhat earthquake ',0
'san francisco hit pics ',0
'bert inlaws friends ok rita seems mia trouble paradise ',0
'sunset boulevard hollywood los angeles california ',0
'magnitude earthquake shakes san francisco bay area california ',0
'sisters best friend moved california college far shes met kim kardashian shes going vmas tonight adopt ',0
'california get minute lunches even much time ',0
'hope family california okay ',0
'good gracious poor dear cali glad youre alright hope everyone well safe california ',0
'new hire talking earthquake long ',0
'instagram map photos videos downtown todays magnitude earthquake ',0
'photo williamgjstormyblog omg thatï½s earthquake woke meï½ epicenter near vallejo ca ',0
'gab arent ',0
'lives sucky city ',0
'whyd come back ponder heres states gdp nipping countries heels ',0
'earthquake strikes heart california wine country harvest season begins ',0
'come see section rock perform tonight epic lounge downey california pm bucksï½ ',0
'california baby shampoo bodywash super sensitive ozby califor ',0
'im really upset didnt feel earthquake ',0
'well enjoy west hopefully wont earthquake ',0
'least injured early morning earthquake near napa calif ',0
'love living california ',0
'strong california quake causes injuries damage napa calif ap ï½ largest earthqu via ',0
'earthquake ',0
'latest damaging ',0
'u guys hear earthquake ',0
'soooo earthquake day pool party ',0
'kind hoping exboss wine cellar gun collection rutherford trashed earthquake ',0
'hope u fine big earthquake morning ',0
'everyone north california well stay safe ',0
'im glad youre tweeting survived earthquake ',0
'due earthquake napa today solicited input shamrock renewable network want tï½http ',0
'california quail chicks start running hour hatch ',0
'prays go people experienced earthquake ',0
'state ',0
'ok earthquake hit ',0
'want check webpages winners amigocloud helpful hands chargebeacon ',0
'cnn told uncertainty ½ ',0
'nominada por ',0
'thoughts prayers california ',0
'buildings severely damaged california quake ',0
'calendula newborn tote pieces set california babyby californi ',0
'lot bottled water sold today costco vital survival htï½ ',0
'several buildings napa uninhabitable earthquake news kcra home via ',0
'wanted housing prices fall actual houses ',0
'ty earthquake northern cali crystal feel ',0
'earthquake wine ï½ earthquake ',0
'anyone feel earthquake last night ',0
'earth excited bday decided quake happy st andï½ ',0
'earthquake thats moving ',0
'wanted check people cali hearing earthquake response ',0
'sadly children californias foster care system guinea pigs risky drugs control behavior ',0
'perros wong california ',0
'apparently slept earthquake morning ',0
'ï½ justin los angeles california august nd ',0
'oh california ',0
'diehard disney fans begin line pm wed hours thursday opening disneys california adventure ',0
'good news earthquake early warning system works ',0
'robbers ',0
'lol slept earthquake ',0
'welcome welcome lost pets southern california youï½ve lost found dog ',0
'novato california ï½ clear ',0
'survived earthquake youre ',0
'glad indycar race today drivers ok earthquake ',0
'hey california wanna save water fining shit farmers irrigate middle day ',0
'california tomorrow ',0
'felt tremors last night apparently earthquake bay area dang ',0
'people injured critical condition earthquake ',0
'really missing california ',0
'time benefiting california scenario noguchi garden ',0
'northern california looks like quake ',0
